date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:13:00	22929/22929	---M--	200	added ('OK')	image/png	etag:%22d6ba341508adb8725d09b30245a646f9%22	https://site-1390491.mozfiles.com/files/1390491/medium/logo.png	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/medium/logo.png	(from https://lebastonus.mozello.fr/)
00:13:00	332238/332238	---M--	200	added ('OK')	image/jpeg	etag:%22d8c8f1d51a2283e79a9e6e3d507ed3d9%22	https://site-1390491.mozfiles.com/files/1390491/banners/36532797/Medieval_Landscape.jpg?1626396	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/banners/36532797/Medieval_Landscapebf1d.jpg	(from https://lebastonus.mozello.fr/)
00:13:00	24088/24088	---M--	200	added ('OK')	image/png	etag:%228f5f2881ce6e01d7e0107c59754a4da0%22	https://site-1390491.mozfiles.com/files/1390491/medium/Bastonus_logo.png?1618483309	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/medium/Bastonus_logo04fe.png	(from https://lebastonus.mozello.fr/)
00:13:01	28302/28302	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:13:00%20GMT	https://lebastonus.mozello.fr/accueil/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/accueil/index.html	(from https://lebastonus.mozello.fr/)
00:13:01	22929/22929	---M--	200	added ('OK')	image/png	etag:%22d6ba341508adb8725d09b30245a646f9%22	https://site-1390491.mozfiles.com/files/1390491/medium/logo.png?1618483331	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/site-1390491.mozfiles.com/files/1390491/medium/logocacc.png	(from https://lebastonus.mozello.fr/)
00:14:26	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:13:02%20GMT	https://lebastonus.mozello.fr/meduspods/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/meduspods/index.html	(from https://lebastonus.mozello.fr/)
00:14:26	135/135	---M-Z	200	added ('OK')	text/plain	date:Thu,%2015%20Apr%202021%2022:13:01%20GMT	https://lebastonus.mozello.com/robots.txt		(from )
00:14:27	36281/36281	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:13:01%20GMT	https://lebastonus.mozello.fr/regles/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/regles/index.html	(from https://lebastonus.mozello.fr/)
00:14:27	23233/23233	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Apr%202021%2022:13:01%20GMT	https://lebastonus.mozello.fr/telecharger/	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.fr/telecharger/index.html	(from https://lebastonus.mozello.fr/)
00:14:27	15086/15086	---MC-	200	added ('OK')	image/vnd.microsoft.icon	date:Thu,%2015%20Apr%202021%2022:14:27%20GMT	https://lebastonus.mozello.com/favicon.png?0	C:/Users/Lucie/Documents/Sauvegardes/Sites/Le%20Bastonus/lebastonus.mozello.com/faviconcfcd.png	(from https://lebastonus.mozello.com/)
